"dsc_cidade","populacao"
"Lagoa de São Francisco (PI)","6777"
"Lagoa do Piauí (PI)","4075"
"Lagoa do Sítio (PI)","5198"
"Landri Sales (PI)","5283"
"Luís Correia (PI)","30438"
"Luzilândia (PI)","25504"
"Madeiro (PI)","8342"
"Manoel Emídio (PI)","5351"
"Marcolândia (PI)","8543"
"Marcos Parente (PI)","4547"
"Massapê do Piauí (PI)","6449"
"Matias Olímpio (PI)","10958"
"Miguel Alves (PI)","33833"
"Miguel Leão (PI)","1242"
"Milton Brandão (PI)","6608"
"Monsenhor Gil (PI)","10564"
"Monsenhor Hipólito (PI)","7767"
"Monte Alegre do Piauí (PI)","10615"
